countryorigin,countrydestination,origlon,origlat,destlon,destlat,Year,flights
South Africa,India,25.04801387986168,-28.947033259979115,79.59370376325381,22.92500640740852,2019,15268
Australia,Japan,134.50277547536595,-25.73065477972608,138.06496213270776,37.66311081170466,2019,11533
Australia,Netherlands,134.50277547536595,-25.73065477972608,5.512217100965399,52.298700374441786,2019,38218
Brazil,France,-53.05434003576711,-10.806773643498916,-2.8766966992706267,42.46070432663372,2019,65285
Australia,United States of America,134.50277547536595,-25.73065477972608,-112.5994359115045,45.70562800215178,2019,86817
Japan,Italy,138.06496213270776,37.66311081170466,12.140788372235871,42.751183052964265,2019,69187
India,South Africa,79.59370376325381,22.92500640740852,25.04801387986168,-28.947033259979115,2019,2883
Brazil,United States of America,-53.05434003576711,-10.806773643498916,-112.5994359115045,45.70562800215178,2019,86817
Australia,United Kingdom,134.50277547536595,-25.73065477972608,-2.8531353951805545,53.91477348053706,2019,133762
Australia,Germany,134.50277547536595,-25.73065477972608,10.288485092742851,51.13372269040778,2019,113196
China,United States of America,103.88361230063248,36.555066531858685,-112.5994359115045,45.70562800215178,2019,86817
United States of America,Germany,-112.5994359115045,45.70562800215178,10.288485092742851,51.13372269040778,2019,113196
United States of America,United Kingdom,-112.5994359115045,45.70562800215178,-2.8531353951805545,53.91477348053706,2019,133762
Australia,United Arab Emirates,134.50277547536595,-25.73065477972608,54.20671476159633,23.86863365334761,2019,24319
United States of America,Belgium,-112.5994359115045,45.70562800215178,4.580834113854935,50.65244095902296,2019,24632
France,Netherlands,-2.8766966992706267,42.46070432663372,5.512217100965399,52.298700374441786,2019,38218
Japan,Australia,138.06496213270776,37.66311081170466,134.50277547536595,-25.73065477972608,2019,11372
United States of America,France,-112.5994359115045,45.70562800215178,-2.8766966992706267,42.46070432663372,2019,65285
New Zealand,United Arab Emirates,172.70192594405574,-41.66257875715869,54.20671476159633,23.86863365334761,2019,24319
Philippines,Canada,122.90267236988682,11.763799362297664,-98.14238137209708,61.46907614534896,2019,43839
Taiwan,United States of America,120.97480073748623,23.740964979784938,-112.5994359115045,45.70562800215178,2019,86817
Australia,Taiwan,134.50277547536595,-25.73065477972608,120.97480073748623,23.740964979784938,2019,11067
United States of America,Japan,-112.5994359115045,45.70562800215178,138.06496213270776,37.66311081170466,2019,11533
Austria,France,14.076158884337072,47.6139487927463,-2.8766966992706267,42.46070432663372,2019,65285
United States of America,New Zealand,-112.5994359115045,45.70562800215178,172.70192594405574,-41.66257875715869,2019,6045
United States of America,Brazil,-112.5994359115045,45.70562800215178,-53.05434003576711,-10.806773643498916,2019,5919
Philippines,Italy,122.90267236988682,11.763799362297664,12.140788372235871,42.751183052964265,2019,69187
Australia,Qatar,134.50277547536595,-25.73065477972608,51.1835025789133,25.32185097420669,2019,12321
United Kingdom,Australia,-2.8531353951805545,53.91477348053706,134.50277547536595,-25.73065477972608,2019,11372
South Africa,France,25.04801387986168,-28.947033259979115,-2.8766966992706267,42.46070432663372,2019,65285
Japan,United States of America,138.06496213270776,37.66311081170466,-112.5994359115045,45.70562800215178,2019,86817
Philippines,United States of America,122.90267236988682,11.763799362297664,-112.5994359115045,45.70562800215178,2019,86817
Malaysia,Belgium,109.6981484486297,3.725588425773716,4.580834113854935,50.65244095902296,2019,24632
Taiwan,Canada,120.97480073748623,23.740964979784938,-98.14238137209708,61.46907614534896,2019,43839
Australia,Malaysia,134.50277547536595,-25.73065477972608,109.6981484486297,3.725588425773716,2019,9940
Japan,Denmark,138.06496213270776,37.66311081170466,9.876372937675002,56.06393446179454,2019,23558
Switzerland,United States of America,8.118300613385486,46.79173768366762,-112.5994359115045,45.70562800215178,2019,86817
France,Taiwan,-2.8766966992706267,42.46070432663372,120.97480073748623,23.740964979784938,2019,11067
Spain,United States of America,-3.6170206023873743,40.348656106226734,-112.5994359115045,45.70562800215178,2019,86817
South Africa,Qatar,25.04801387986168,-28.947033259979115,51.1835025789133,25.32185097420669,2019,12321
